type,start_date,end_date,duration_blocks,accumulated,basin
Wet,1998-01-01,1998-04-01,2,45.54898228096033,Danube
Dry,1998-07-01,2025-04-01,108,-45.54898228096086,Danube
Wet,1998-01-01,1998-07-01,3,18.151262718847363,Mississippi / Missouri
Dry,1998-10-01,1999-04-01,3,-27.39597267801537,Mississippi / Missouri
Wet,1999-07-01,2024-04-01,100,23.63521439517102,Mississippi / Missouri
Dry,2024-07-01,2025-04-01,4,-14.390504436003837,Mississippi / Missouri
Wet,1998-01-01,1998-01-01,1,44.85461932912304,Colorado
Dry,1998-04-01,2000-07-01,10,-83.47020225223359,Colorado
Wet,2000-10-01,2012-01-01,46,94.2158013084505,Colorado
Dry,2012-04-01,2013-04-01,5,-15.354822290869052,Colorado
Wet,2013-07-01,2022-07-01,37,75.87528327013418,Colorado
Dry,2022-10-01,2025-04-01,11,-116.12067936460402,Colorado
Wet,1998-01-01,1998-04-01,2,82.24400961100507,California
Dry,1998-07-01,1999-01-01,3,-8.244229286509864,California
Wet,1999-04-01,2024-07-01,102,17.18353631835032,California
Dry,2024-10-01,2025-04-01,3,-91.18331664284466,California
Dry,1998-01-01,1998-01-01,1,-12.472760008158543,Yangtze Basin
Wet,1998-04-01,2025-04-01,109,12.472760008158787,Yangtze Basin
Dry,1998-01-01,1998-01-01,1,-43.90750782655019,Mekong Basin
Wet,1998-04-01,2004-01-01,24,7.4963380259848975,Mekong Basin
Dry,2004-04-01,2016-04-01,49,-169.40718736370178,Mekong Basin
Wet,2016-07-01,2019-01-01,11,39.47657885106587,Mekong Basin
Dry,2019-04-01,2021-07-01,10,-70.93429191257295,Mekong Basin
Wet,2021-10-01,2024-04-01,11,30.17181671019118,Mekong Basin
Dry,2024-07-01,2024-07-01,1,-34.440320345584354,Mekong Basin
Wet,2024-10-01,2025-04-01,3,241.5445738611665,Mekong Basin
Wet,1998-01-01,1998-07-01,3,27.73036793723009,Nile
Dry,1998-10-01,1998-10-01,1,-35.8545991363856,Nile
Wet,1999-01-01,2024-07-01,103,74.7986148005585,Nile
Dry,2024-10-01,2025-04-01,3,-66.6743836014029,Nile
Wet,1998-01-01,1999-01-01,5,20.01379390475006,Ganges / Bhramaputra Basin
Dry,1999-04-01,2021-10-01,91,-34.30011447437777,Ganges / Bhramaputra Basin
Wet,2022-01-01,2023-04-01,6,16.625554794647478,Ganges / Bhramaputra Basin
Dry,2023-07-01,2023-10-01,2,-33.24376963293218,Ganges / Bhramaputra Basin
Wet,2024-01-01,2025-04-01,6,30.90453540791245,Ganges / Bhramaputra Basin
Dry,1998-01-01,1999-07-01,7,-6.413559780101103,Congo
Wet,1999-10-01,1999-10-01,1,32.754218845507026,Congo
Dry,2000-01-01,2002-07-01,11,-28.780052551030387,Congo
Wet,2002-10-01,2005-04-01,11,12.413748320485269,Congo
Dry,2005-07-01,2007-07-01,9,-3.4247567253938307,Congo
Wet,2007-10-01,2008-07-01,4,27.301455915818195,Congo
Dry,2008-10-01,2018-01-01,38,-5.065502418665318,Congo
Wet,2018-04-01,2024-01-01,24,21.921280767709256,Congo
Dry,2024-04-01,2025-04-01,5,-50.70683237432955,Congo
Dry,1998-01-01,1998-07-01,3,-7.529173876928381,Amazon Basin
Wet,1998-10-01,2003-10-01,21,32.29895315202201,Amazon Basin
Dry,2004-01-01,2004-01-01,1,-34.269954334193145,Amazon Basin
Wet,2004-04-01,2019-10-01,63,68.57993506076102,Amazon Basin
Dry,2020-01-01,2021-04-01,6,-22.148613576996773,Amazon Basin
Wet,2021-07-01,2023-10-01,10,75.48172875721968,Amazon Basin
Dry,2024-01-01,2025-04-01,6,-112.4128751818849,Amazon Basin
Wet,1998-01-01,2004-04-01,26,35.852160569426474,Murray
Dry,2004-07-01,2006-07-01,9,-94.10955873392737,Murray
Wet,2006-10-01,2023-01-01,66,30.873913148422744,Murray
Dry,2023-04-01,2024-04-01,5,-108.23093956901195,Murray
Wet,2024-07-01,2025-04-01,4,135.6144245850904,Murray
