type,start_date,end_date,duration_blocks,accumulated,basin
Wet,1998-01-01,1998-07-01,7,11.620016337216185,Danube
Dry,1998-08-01,2025-02-01,319,-16.30245972630677,Danube
Wet,2025-03-01,2025-04-01,2,4.682443389090384,Danube
Dry,1998-01-01,1998-01-01,1,-19.233495333972822,Mississippi / Missouri
Wet,1998-02-01,1998-10-01,9,5.418265010388481,Mississippi / Missouri
Dry,1998-11-01,1998-11-01,1,-6.13518263881906,Mississippi / Missouri
Wet,1998-12-01,1999-01-01,2,1.7450289019764682,Mississippi / Missouri
Dry,1999-02-01,1999-05-01,4,-10.357167810429772,Mississippi / Missouri
Wet,1999-06-01,2024-08-01,303,29.30160477402262,Mississippi / Missouri
Dry,2024-09-01,2024-12-01,4,-19.719584440409704,Mississippi / Missouri
Wet,2025-01-01,2025-04-01,4,18.980531537243095,Mississippi / Missouri
Dry,1998-01-01,1998-01-01,1,-34.12003285496172,Colorado
Wet,1998-02-01,1998-06-01,5,11.76276042193669,Colorado
Dry,1998-07-01,2000-09-01,27,-16.258310490085464,Colorado
Wet,2000-10-01,2012-05-01,140,48.65975284200739,Colorado
Dry,2012-06-01,2013-05-01,12,-36.03242258104923,Colorado
Wet,2013-06-01,2023-07-01,122,48.87386079938051,Colorado
Dry,2023-08-01,2025-04-01,21,-22.88560813722654,Colorado
Wet,1998-01-01,1998-07-01,7,18.666031007099747,California
Dry,1998-08-01,1998-11-01,4,-20.715564592696012,California
Wet,1998-12-01,2025-02-01,315,3.4764559508390676,California
Dry,2025-03-01,2025-04-01,2,-1.4269223652425174,California
Dry,1998-01-01,1998-04-01,4,-10.370082990463176,Yangtze Basin
Wet,1998-05-01,2025-04-01,324,10.37008299046309,Yangtze Basin
Dry,1998-01-01,1998-03-01,3,-43.90750782655019,Mekong Basin
Wet,1998-04-01,2004-03-01,72,7.4963380259847625,Mekong Basin
Dry,2004-04-01,2016-08-01,149,-36.473604258657176,Mekong Basin
Wet,2016-09-01,2018-08-01,24,0.26789223363129366,Mekong Basin
Dry,2018-09-01,2022-01-01,41,-33.48509268513371,Mekong Basin
Wet,2022-02-01,2024-03-01,26,26.87693730147631,Mekong Basin
Dry,2024-04-01,2024-12-01,9,-76.72723121193428,Mekong Basin
Wet,2025-01-01,2025-04-01,4,155.95226842118208,Mekong Basin
Wet,1998-01-01,1998-11-01,11,4.760526920080071,Nile
Dry,1998-12-01,1998-12-01,1,-12.884758119235585,Nile
Wet,1999-01-01,2024-11-01,311,60.237456092618416,Nile
Dry,2024-12-01,2025-04-01,5,-52.11322489346344,Nile
Dry,1998-01-01,1998-01-01,1,-14.198795454439413,Ganges / Bhramaputra Basin
Wet,1998-02-01,1999-07-01,18,3.773812096348305,Ganges / Bhramaputra Basin
Dry,1999-08-01,1999-10-01,3,-22.895090196969683,Ganges / Bhramaputra Basin
Wet,1999-11-01,2000-02-01,4,12.959592251715563,Ganges / Bhramaputra Basin
Dry,2000-03-01,2021-11-01,261,-28.569971004354464,Ganges / Bhramaputra Basin
Wet,2021-12-01,2023-01-01,14,23.8036382666498,Ganges / Bhramaputra Basin
Dry,2023-02-01,2023-02-01,1,-32.810281562819405,Ganges / Bhramaputra Basin
Wet,2023-03-01,2025-04-01,26,57.93709560386938,Ganges / Bhramaputra Basin
Wet,1998-01-01,1998-01-01,1,3.5329704857634425,Congo
Dry,1998-02-01,1999-09-01,20,-9.946530265864546,Congo
Wet,1999-10-01,2000-02-01,5,18.035328917110427,Congo
Dry,2000-03-01,2001-04-01,14,-0.3782808857913551,Congo
Wet,2001-05-01,2001-10-01,6,0.8776724493666705,Congo
Dry,2001-11-01,2002-01-01,3,-4.358607241811072,Congo
Wet,2002-02-01,2002-06-01,5,1.4070128251098595,Congo
Dry,2002-07-01,2002-09-01,3,-11.60895976950789,Congo
Wet,2002-10-01,2005-03-01,30,3.7154899143181415,Congo
Dry,2005-04-01,2005-04-01,1,-4.327419716087348,Congo
Wet,2005-05-01,2005-07-01,3,3.797681408216448,Congo
Dry,2005-08-01,2007-07-01,24,-8.557147386536498,Congo
Wet,2007-08-01,2009-08-01,25,10.061308934703277,Congo
Dry,2009-09-01,2010-02-01,6,-4.089293180058418,Congo
Wet,2010-03-01,2010-04-01,2,3.6778186745284103,Congo
Dry,2010-05-01,2010-07-01,3,-1.7424452731124376,Congo
Wet,2010-08-01,2011-05-01,10,8.115170739114973,Congo
Dry,2011-06-01,2011-09-01,4,-7.576733325318173,Congo
Wet,2011-10-01,2011-10-01,1,13.601030728983917,Congo
Dry,2011-11-01,2013-02-01,16,-12.425379220458993,Congo
Wet,2013-03-01,2014-06-01,16,2.293468869459602,Congo
Dry,2014-07-01,2017-10-01,40,-8.069155088302836,Congo
Wet,2017-11-01,2025-02-01,88,2.010681004024093,Congo
Dry,2025-03-01,2025-03-01,1,-8.296358711503885,Congo
Wet,2025-04-01,2025-04-01,1,10.250675113653756,Congo
Dry,1998-01-01,1998-11-01,11,-6.616073310019911,Amazon Basin
Wet,1998-12-01,2003-12-01,61,31.385852585113454,Amazon Basin
Dry,2004-01-01,2004-04-01,4,-22.97973953658432,Amazon Basin
Wet,2004-05-01,2020-01-01,189,22.28335250984472,Amazon Basin
