accuracy,precision,recall,f1,roc_auc,rmse,log_loss,model,basin,split
0.5992063492063492,0.3017241379310345,0.6363636363636364,0.4093567251461988,0.6574988463313336,0.4822473857505129,0.6566819237431705,Logistic Regression,Danube,train
0.46875,0.17647058823529413,0.5,0.2608695652173913,0.41185897435897434,0.5261803919667247,0.7493418285550364,Logistic Regression,Danube,test
0.9047619047619048,0.7123287671232876,0.9454545454545454,0.8125,0.9832025842178127,0.3426193049650821,0.39902771445273794,Random Forest,Danube,train
0.71875,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.6762820512820513,0.43061476577561825,0.5519817100659128,Random Forest,Danube,test
0.9365079365079365,0.7746478873239436,1.0,0.873015873015873,0.999353945546839,0.2529252166934908,0.24626661765364571,Gradient Boosting,Danube,train
0.671875,0.2631578947368421,0.4166666666666667,0.3225806451612903,0.5833333333333333,0.45939150500648535,0.6223905578254036,Gradient Boosting,Danube,test
0.6666666666666666,0.3333333333333333,0.6153846153846154,0.43243243243243246,0.7225,0.45837319174919816,0.6083182824458563,Logistic Regression,Mississippi / Missouri,train
0.65625,0.2916666666666667,0.5833333333333334,0.3888888888888889,0.6522435897435898,0.4833393371904024,0.6829825031834235,Logistic Regression,Mississippi / Missouri,test
0.9206349206349206,0.7666666666666667,0.8846153846153846,0.8214285714285714,0.9802884615384615,0.3260633786045308,0.3741664856339228,Random Forest,Mississippi / Missouri,train
0.71875,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.6794871794871795,0.41946594114512037,0.5237534256588916,Random Forest,Mississippi / Missouri,test
0.9563492063492064,0.8253968253968254,1.0,0.9043478260869565,0.9998076923076923,0.21340754570225,0.19488045122722567,Gradient Boosting,Mississippi / Missouri,train
0.734375,0.3333333333333333,0.4166666666666667,0.37037037037037035,0.6602564102564102,0.43653494920447355,0.5786678930723279,Gradient Boosting,Mississippi / Missouri,test
0.6309523809523809,0.2571428571428571,0.6428571428571429,0.3673469387755102,0.6844671201814059,0.4754071009346169,0.6440306144324539,Logistic Regression,Colorado,train
0.5,0.18181818181818182,0.5454545454545454,0.2727272727272727,0.4373927958833619,0.5243572592580197,0.7470951914618316,Logistic Regression,Colorado,test
0.9722222222222222,0.9069767441860465,0.9285714285714286,0.9176470588235294,0.9962585034013605,0.3063223390230634,0.3460477926925791,Random Forest,Colorado,train
0.75,0.2222222222222222,0.18181818181818182,0.2,0.6363636363636364,0.4204446619796337,0.5338829022115625,Random Forest,Colorado,test
0.9841269841269841,0.9130434782608695,1.0,0.9545454545454546,0.9968253968253968,0.21765613682988275,0.2056638982761635,Gradient Boosting,Colorado,train
0.671875,0.1875,0.2727272727272727,0.2222222222222222,0.6638078902229845,0.4476218115630844,0.5759552286702212,Gradient Boosting,Colorado,test
0.5952380952380952,0.22018348623853212,0.5853658536585366,0.32,0.6751820598774707,0.4748468398628942,0.6394425773162231,Logistic Regression,California,train
0.625,0.42857142857142855,0.7894736842105263,0.5555555555555556,0.5964912280701754,0.5192905875933125,0.7472186593503276,Logistic Regression,California,test
0.9682539682539683,0.8837209302325582,0.926829268292683,0.9047619047619048,0.9912148884522021,0.3288721739326208,0.3850073495583906,Random Forest,California,train
0.75,0.6153846153846154,0.42105263157894735,0.5,0.7953216374269005,0.4308579339694977,0.5562072746267365,Random Forest,California,test
0.9880952380952381,0.9318181818181818,1.0,0.9647058823529412,0.9995376257080106,0.21979762974675338,0.21368750384992943,Gradient Boosting,California,train
0.703125,0.5,0.42105263157894735,0.45714285714285713,0.7333333333333333,0.4372057192926628,0.5646150573296552,Gradient Boosting,California,test
0.6904761904761905,0.41237113402061853,0.6557377049180327,0.5063291139240507,0.7244871684833919,0.4583673811339492,0.6077362631920256,Logistic Regression,Yangtze Basin,train
0.59375,0.12,0.42857142857142855,0.1875,0.406015037593985,0.4863786720123773,0.6672556456716968,Logistic Regression,Yangtze Basin,test
0.9087301587301587,0.7878787878787878,0.8524590163934426,0.8188976377952756,0.9679855806368551,0.338250029648265,0.38924250216057976,Random Forest,Yangtze Basin,train
0.75,0.2,0.42857142857142855,0.2727272727272727,0.7243107769423559,0.39508823193805437,0.47734908384622077,Random Forest,Yangtze Basin,test
0.9761904761904762,0.9230769230769231,0.9836065573770492,0.9523809523809523,0.9978542614367865,0.22738326652567603,0.22454227978536864,Gradient Boosting,Yangtze Basin,train
0.78125,0.23076923076923078,0.42857142857142855,0.3,0.7142857142857143,0.3971901207856365,0.4822607335810679,Gradient Boosting,Yangtze Basin,test
0.7182539682539683,0.39361702127659576,0.7254901960784313,0.5103448275862069,0.8128963027997269,0.42661462786841614,0.5360284988621317,Logistic Regression,Mekong Basin,train
0.671875,0.3076923076923077,0.7272727272727273,0.43243243243243246,0.7718696397941681,0.45805710792076937,0.5920811744752843,Logistic Regression,Mekong Basin,test
0.9126984126984127,0.7164179104477612,0.9411764705882353,0.8135593220338984,0.9761974441517901,0.32771617118084484,0.36363880398417203,Random Forest,Mekong Basin,train
0.765625,0.35714285714285715,0.45454545454545453,0.4,0.7667238421955402,0.39532513905131217,0.47450770922615293,Random Forest,Mekong Basin,test
0.9444444444444444,0.7846153846153846,1.0,0.8793103448275862,0.9958052872890449,0.23532441379858807,0.21903984025723333,Gradient Boosting,Mekong Basin,train
0.765625,0.35714285714285715,0.45454545454545453,0.4,0.6620926243567753,0.4067372711755811,0.503169306376269,Gradient Boosting,Mekong Basin,test
0.6626984126984127,0.3119266055045872,0.7727272727272727,0.4444444444444444,0.7955638111888113,0.43840319783989773,0.5568407489053929,Logistic Regression,Nile,train
0.578125,0.21875,0.7777777777777778,0.34146341463414637,0.6585858585858586,0.5012215691779816,0.7038876445049741,Logistic Regression,Nile,test
0.8492063492063492,0.5416666666666666,0.8863636363636364,0.6724137931034483,0.9550917832167832,0.34068881908154935,0.3778218495967311,Random Forest,Nile,train
0.8125,0.36363636363636365,0.4444444444444444,0.4,0.7676767676767677,0.3793185481511245,0.4442065762775068,Random Forest,Nile,test
0.9365079365079365,0.7413793103448276,0.9772727272727273,0.8431372549019608,0.9969405594405595,0.228813881471285,0.2141678341075525,Gradient Boosting,Nile,train
0.859375,0.5,0.4444444444444444,0.47058823529411764,0.6484848484848484,0.3850007186362574,0.4776076954087959,Gradient Boosting,Nile,test
0.7380952380952381,0.37362637362637363,0.7906976744186046,0.5074626865671642,0.8119505953043284,0.427741625321271,0.5406238013327845,Logistic Regression,Ganges / Bhramaputra Basin,train
0.671875,0.3333333333333333,0.6153846153846154,0.43243243243243246,0.7526395173453997,0.44327499784410807,0.5748217403905975,Logistic Regression,Ganges / Bhramaputra Basin,test
0.9087301587301587,0.6612903225806451,0.9534883720930233,0.780952380952381,0.9754089240013353,0.318111433477905,0.35306718336442067,Random Forest,Ganges / Bhramaputra Basin,train
0.796875,0.5,0.5384615384615384,0.5185185185185185,0.7782805429864253,0.4015262905757137,0.49335501682631283,Random Forest,Ganges / Bhramaputra Basin,test
