type,start_date,end_date,duration_blocks,accumulated,basin
Dry,1998-01-01,1998-07-01,2,-66.42123676190472,Amazon Basin
Wet,1999-01-01,2025-01-01,53,66.42123676190496,Amazon Basin
Wet,1998-01-01,2014-07-01,34,118.01036133994702,California
Dry,2015-01-01,2016-07-01,4,-26.151397789418027,California
Wet,2017-01-01,2020-07-01,8,1.0501989211639824,California
Dry,2021-01-01,2025-01-01,9,-92.90916247169312,California
Wet,1998-01-01,2001-07-01,8,25.173235920105817,Colorado
Dry,2002-01-01,2004-07-01,6,-66.13676825992064,Colorado
Wet,2005-01-01,2012-01-01,15,14.429334499470855,Colorado
Dry,2012-07-01,2014-07-01,5,-2.2129506992063526,Colorado
Wet,2015-01-01,2025-01-01,21,28.747148539550242,Colorado
Dry,1998-01-01,1999-01-01,3,-38.769101605820055,Congo
Wet,1999-07-01,2025-01-01,52,38.76910160582051,Congo
Dry,1998-01-01,1998-01-01,1,-52.61409812830688,Danube
Wet,1998-07-01,2000-01-01,4,72.66324552116404,Danube
Dry,2000-07-01,2005-07-01,11,-0.8430553082010022,Danube
Wet,2006-01-01,2006-01-01,1,60.85478887169313,Danube
Dry,2006-07-01,2009-07-01,7,-59.213714829365,Danube
Wet,2010-01-01,2011-07-01,4,2.5854565211640903,Danube
Dry,2012-01-01,2012-07-01,2,-50.210426239417984,Danube
Wet,2013-01-01,2025-01-01,25,26.777803591269915,Danube
Wet,1998-01-01,2018-01-01,41,54.06358561574092,Ganges / Bhramaputra Basin
Dry,2018-07-01,2019-07-01,3,-68.44734599854495,Ganges / Bhramaputra Basin
Wet,2020-01-01,2023-07-01,8,12.010490857672053,Ganges / Bhramaputra Basin
Dry,2024-01-01,2024-01-01,1,-25.901347972619075,Ganges / Bhramaputra Basin
Wet,2024-07-01,2025-01-01,2,28.274617497751354,Ganges / Bhramaputra Basin
Dry,1998-01-01,1999-01-01,3,-8.5386529648149,Mekong Basin
Wet,1999-07-01,2015-01-01,32,16.306841959258776,Mekong Basin
Dry,2015-07-01,2016-07-01,3,-49.2880905490741,Mekong Basin
Wet,2017-01-01,2019-01-01,5,65.63460086388882,Mekong Basin
Dry,2019-07-01,2022-01-01,6,-7.296689813889003,Mekong Basin
Wet,2022-07-01,2022-07-01,1,63.480412622222204,Mekong Basin
Dry,2023-01-01,2025-01-01,5,-80.29842211759268,Mekong Basin
Wet,1998-01-01,1999-07-01,4,16.738652616402078,Mississippi / Missouri
Dry,2000-01-01,2009-01-01,19,-97.71387943650811,Mississippi / Missouri
Wet,2009-07-01,2012-01-01,6,10.964550924603131,Mississippi / Missouri
Dry,2012-07-01,2018-01-01,12,-28.888685150793712,Mississippi / Missouri
Wet,2018-07-01,2025-01-01,14,98.8993610462962,Mississippi / Missouri
Dry,1998-01-01,1998-01-01,1,-1.6237482226190423,Murray
Wet,1998-07-01,2002-07-01,9,4.990262794709082,Murray
Dry,2003-01-01,2011-01-01,17,-4.580451007275066,Murray
Wet,2011-07-01,2013-01-01,4,75.22343982883598,Murray
Dry,2013-07-01,2025-01-01,24,-74.0095033936507,Murray
Wet,1998-01-01,2003-07-01,12,17.169830776190558,Nile
Dry,2004-01-01,2007-07-01,8,-27.110966949206258,Nile
Wet,2008-01-01,2008-01-01,1,28.104595516402142,Nile
Dry,2008-07-01,2019-07-01,23,-6.36926526402096,Nile
Wet,2020-01-01,2021-07-01,4,11.878067425396843,Nile
Dry,2022-01-01,2022-01-01,1,-17.972853483597866,Nile
Wet,2022-07-01,2024-07-01,5,5.586960121693153,Nile
Dry,2025-01-01,2025-01-01,1,-11.286368142857134,Nile
Wet,1998-01-01,2001-01-01,7,29.85007290846555,Yangtze Basin
Dry,2001-07-01,2021-01-01,40,-81.33384937989427,Yangtze Basin
Wet,2021-07-01,2025-01-01,8,51.48377647142851,Yangtze Basin
