basin,model,feature,value,abs_normalized
Danube,Logistic Regression,anomaly_lag1,-0.19615790159640137,0.17324449841824527
Danube,Logistic Regression,anomaly_lag2,0.02345671058580189,0.020716708462453007
Danube,Logistic Regression,anomaly_lag3,0.29011649856451616,0.25622769650177196
Danube,Logistic Regression,raw_lag1,-0.03780457653728607,0.03338858565887331
Danube,Logistic Regression,bar_state_lag1,0.03912036462489709,0.03455067520717961
Danube,Logistic Regression,rolling_autocorr_3,0.17827014796887847,0.15744623141085493
Danube,Logistic Regression,rolling_variance_3,0.1487863178930517,0.13140643739100957
Danube,Logistic Regression,rolling_skew_3,0.12052171106902482,0.10644344791994316
Danube,Logistic Regression,rolling_autocorr_6,1.1322604953540214,1.0
Danube,Logistic Regression,rolling_variance_6,-0.7655252811752109,0.6761034976636324
Danube,Logistic Regression,rolling_skew_6,0.1083626511350411,0.09570470009302902
Danube,Logistic Regression,rolling_autocorr_12,-0.3435964355369779,0.3034605878654685
Danube,Logistic Regression,rolling_variance_12,0.39404967524260837,0.348020333535881
Danube,Logistic Regression,rolling_skew_12,-0.37655131991128254,0.3325659788152788
Danube,Logistic Regression,month_sin,0.04110331759952731,0.03630199743626631
Danube,Logistic Regression,month_cos,0.10549686725327193,0.09317367132930524
Danube,Random Forest,anomaly_lag1,0.05702624428358413,0.32421381471283134
Danube,Random Forest,anomaly_lag2,0.0481449707433247,0.27372071964459216
Danube,Random Forest,anomaly_lag3,0.06202913672909472,0.35265697916691957
Danube,Random Forest,raw_lag1,0.05366226642267346,0.3050884434281346
Danube,Random Forest,bar_state_lag1,0.03535945598757693,0.2010306702804006
Danube,Random Forest,rolling_autocorr_3,0.018052856478099785,0.10263669892272478
Danube,Random Forest,rolling_variance_3,0.049364939968048575,0.28065666433372616
Danube,Random Forest,rolling_skew_3,0.04663415283608893,0.2651312001488752
Danube,Random Forest,rolling_autocorr_6,0.17589085256621306,1.0
Danube,Random Forest,rolling_variance_6,0.09723650436435204,0.5528229748488366
Danube,Random Forest,rolling_skew_6,0.11664631507194978,0.6631744253331138
Danube,Random Forest,rolling_autocorr_12,0.06199449385060163,0.3524600224861846
Danube,Random Forest,rolling_variance_12,0.08449060798211137,0.4803581695660119
Danube,Random Forest,rolling_skew_12,0.050396403766895456,0.28652089083441123
Danube,Random Forest,month_sin,0.020556026953155393,0.11686808411720671
Danube,Random Forest,month_cos,0.022514771996230004,0.12800422345871826
Danube,Gradient Boosting,anomaly_lag1,0.04256219139266056,0.21361513102232807
Danube,Gradient Boosting,anomaly_lag2,0.04113449497441799,0.20644967390031566
Danube,Gradient Boosting,anomaly_lag3,0.1211586642277051,0.6080825043692291
Danube,Gradient Boosting,raw_lag1,0.052083511772658436,0.2614016296477145
Danube,Gradient Boosting,bar_state_lag1,0.012287115875254485,0.06166773330265181
Danube,Gradient Boosting,rolling_autocorr_3,0.002759637695229966,0.013850329331077589
Danube,Gradient Boosting,rolling_variance_3,0.08258936434118755,0.41450727294637885
Danube,Gradient Boosting,rolling_skew_3,0.0443559703184906,0.2226179174797084
Danube,Gradient Boosting,rolling_autocorr_6,0.19924708136996044,1.0
Danube,Gradient Boosting,rolling_variance_6,0.07153102896935543,0.35900665885558025
Danube,Gradient Boosting,rolling_skew_6,0.18922989579199986,0.9497248064609752
Danube,Gradient Boosting,rolling_autocorr_12,0.02704836937585098,0.13575290132169002
Danube,Gradient Boosting,rolling_variance_12,0.07247178010321742,0.3637281891655536
Danube,Gradient Boosting,rolling_skew_12,0.03356812508924052,0.16847486476808907
Danube,Gradient Boosting,month_sin,0.002887318563383654,0.014491146086212941
Danube,Gradient Boosting,month_cos,0.005085450139386925,0.02552333567157403
Mississippi / Missouri,Logistic Regression,anomaly_lag1,0.09599631938011598,0.05389711525998991
Mississippi / Missouri,Logistic Regression,anomaly_lag2,0.6974199313610652,0.39156628783173425
Mississippi / Missouri,Logistic Regression,anomaly_lag3,0.6564240153530919,0.3685491385854031
Mississippi / Missouri,Logistic Regression,raw_lag1,0.20514403836310935,0.11517808132596487
Mississippi / Missouri,Logistic Regression,bar_state_lag1,0.09000084622939762,0.050530957999700456
Mississippi / Missouri,Logistic Regression,rolling_autocorr_3,-0.37165451372708336,0.20866535605315323
Mississippi / Missouri,Logistic Regression,rolling_variance_3,0.11646658916087779,0.06539014433549148
Mississippi / Missouri,Logistic Regression,rolling_skew_3,-0.02979292003028408,0.01672722928517286
Mississippi / Missouri,Logistic Regression,rolling_autocorr_6,-0.42362824075275757,0.23784599520768152
Mississippi / Missouri,Logistic Regression,rolling_variance_6,0.30890671056344804,0.1734356138999127
Mississippi / Missouri,Logistic Regression,rolling_skew_6,-0.17500429604009615,0.09825612873049573
Mississippi / Missouri,Logistic Regression,rolling_autocorr_12,0.9091923527711505,0.5104658735588796
Mississippi / Missouri,Logistic Regression,rolling_variance_12,-1.014390797131774,0.5695295201391732
Mississippi / Missouri,Logistic Regression,rolling_skew_12,-1.7811031057422488,1.0
Mississippi / Missouri,Logistic Regression,month_sin,-0.028011159949314312,0.01572686042655631
Mississippi / Missouri,Logistic Regression,month_cos,0.08996667242093201,0.0505117711214364
Mississippi / Missouri,Random Forest,anomaly_lag1,0.08995929017615137,0.3554998139448741
Mississippi / Missouri,Random Forest,anomaly_lag2,0.0787914313663868,0.3113668320009321
Mississippi / Missouri,Random Forest,anomaly_lag3,0.06813118579498234,0.269239828666199
Mississippi / Missouri,Random Forest,raw_lag1,0.06416487057737731,0.2535658019020448
Mississippi / Missouri,Random Forest,bar_state_lag1,0.04477980049315237,0.17696016401010362
