type,start_date,end_date,duration_blocks,accumulated,basin
Wet,2002-01-01,2002-07-01,7,10.472922851049773,Amazon Basin
Dry,2002-08-01,2002-12-01,5,-3.1689858251791065,Amazon Basin
Wet,2003-01-01,2013-02-01,122,1.9106098263904556,Amazon Basin
Dry,2013-03-01,2016-03-01,37,-9.61697300187214,Amazon Basin
Wet,2016-04-01,2016-12-01,9,3.738988218944826,Amazon Basin
Dry,2017-01-01,2018-05-01,17,-1.3075169843955052,Amazon Basin
Wet,2018-06-01,2021-03-01,34,1.5240726386812185,Amazon Basin
Dry,2021-04-01,2024-03-01,36,-0.2487842090815633,Amazon Basin
Wet,2024-04-01,2024-08-01,5,9.290178735867144,Amazon Basin
Dry,2024-09-01,2024-09-01,1,-16.62065952719456,Amazon Basin
Wet,2024-10-01,2024-10-01,1,19.666281195695205,Amazon Basin
Dry,2024-11-01,2024-12-01,2,-15.640133918906344,Amazon Basin
Dry,2002-01-01,2004-01-01,25,-1.6925315949583766,California
Wet,2004-02-01,2004-04-01,3,7.252212973539386,California
Dry,2004-05-01,2004-09-01,5,-3.8052246662733182,California
Wet,2004-10-01,2022-02-01,209,3.4146297546048423,California
Dry,2022-03-01,2023-08-01,18,-3.3890569911629207,California
Wet,2023-09-01,2024-10-01,14,2.274686841744174,California
Dry,2024-11-01,2024-12-01,2,-4.054716317493618,California
Dry,2002-01-01,2024-02-01,266,-1.5163713570774977,Colorado
Wet,2024-03-01,2024-12-01,10,1.5163713570776487,Colorado
Dry,2002-01-01,2023-12-01,264,-3.9148406925523602,Congo
Wet,2024-01-01,2024-07-01,7,3.4983377872750054,Congo
Dry,2024-08-01,2024-09-01,2,-7.975296178535871,Congo
Wet,2024-10-01,2024-12-01,3,8.391799083812217,Congo
Wet,2002-01-01,2002-02-01,2,1.5992219446001918,Danube
Dry,2002-03-01,2018-07-01,197,-2.3709228914004115,Danube
Wet,2018-08-01,2019-04-01,9,2.522488247449667,Danube
Dry,2019-05-01,2019-05-01,1,-2.7282357279941465,Danube
Wet,2019-06-01,2022-08-01,39,1.5527645164230108,Danube
Dry,2022-09-01,2022-10-01,2,-0.6589762023452188,Danube
Wet,2022-11-01,2023-03-01,5,1.488149801819226,Danube
Dry,2023-04-01,2023-04-01,1,-4.442075318816826,Danube
Wet,2023-05-01,2024-12-01,20,3.0375856302651822,Danube
Dry,2002-01-01,2024-09-01,273,-9.79597620173648,Ganges / Brahmaputra Basin
Wet,2024-10-01,2024-12-01,3,9.795976201736089,Ganges / Brahmaputra Basin
Dry,2002-01-01,2003-04-01,16,-3.4233548312972104,Mekong Basin
Wet,2003-05-01,2003-12-01,8,3.979303503302681,Mekong Basin
Dry,2004-01-01,2022-03-01,219,-5.882656814191634,Mekong Basin
Wet,2022-04-01,2024-12-01,33,5.326708142186433,Mekong Basin
Wet,2002-01-01,2002-03-01,3,0.27192359821378176,Mississippi / Missouri
Dry,2002-04-01,2024-03-01,264,-10.445980964562228,Mississippi / Missouri
Wet,2024-04-01,2024-12-01,9,10.174057366348766,Mississippi / Missouri
Dry,2002-01-01,2024-11-01,275,-11.080132679196858,Murray Darling
Wet,2024-12-01,2024-12-01,1,11.08013267919712,Murray Darling
Wet,2002-01-01,2002-01-01,1,0.0725772134141387,Nile
Dry,2002-02-01,2024-12-01,275,-0.07257721341455436,Nile
Wet,2002-01-01,2002-02-01,2,0.0971118416012331,Yangtze Basin
Dry,2002-03-01,2024-09-01,271,-3.7521357457763216,Yangtze Basin
Wet,2024-10-01,2024-12-01,3,3.6550239041747865,Yangtze Basin
