system:index,ET_mm,month,year,.geo
75,58.24256809984867,4,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,54.29680517778643,5,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,88.81538905543268,6,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,104.31014344127523,7,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,94.08210618467534,8,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,78.90172865668009,9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,47.964009519129654,10,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,24.578611335459808,11,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,26.83256172796282,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,29.620957441144448,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,38.119810313938096,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,45.86414624891512,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,42.65788554287326,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,74.71083068127543,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,89.79316953030872,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,108.21691240447169,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,103.89782986200612,8,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,75.05222286990413,9,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,36.154120027976326,10,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,33.45150949551734,11,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,25.841344910214712,12,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,30.504167170740658,1,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,36.75500657254686,2,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,42.607161316773244,3,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,39.58678491484815,4,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,71.4955360212479,5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,92.48464248893585,6,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,104.41592756144705,7,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,99.00304025455844,8,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,77.83248729796954,9,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,37.74351865234675,10,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,35.598768542235256,11,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,24.890873774642674,12,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,28.675128658853644,1,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,37.96839381461044,2,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,43.554275894129155,3,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,41.61488905049156,4,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,70.97824457214438,5,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,94.98193877712588,6,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,102.57984076402037,7,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,98.72260312251352,8,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,69.97697360949896,9,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,37.819105112189185,10,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,38.31086546738498,11,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,25.551877825458906,12,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,28.587026554414066,1,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,33.004541785839855,2,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,39.15678957266072,3,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,60.648514185594514,4,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
