system:index,ET_mm,month,year,.geo
75,115.05639867325922,4,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,80.37306322715337,5,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,111.92722700899732,6,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,116.822345510043,7,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,118.32971045187466,8,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,120.05552553806564,9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,122.47306730140104,10,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,87.46247067424794,11,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,107.9741928303794,12,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,114.59933180388855,1,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,117.81817401574548,2,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,113.61221612049572,3,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,83.71336240427944,4,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,106.59658175466782,5,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,104.22948275499805,6,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,120.47558092257307,7,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,125.89492662788614,8,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,132.97583110166434,9,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,93.2975803121025,10,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,119.73575876570936,11,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,107.22934074783106,12,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,124.87262110995817,1,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,121.34418650056855,2,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,120.75493766666968,3,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,89.03060010591255,4,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,109.56185012800164,5,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,113.16089034078294,6,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,112.54393379681058,7,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,115.46206771705666,8,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,111.5305034979534,9,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,86.50066016591053,10,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,114.22522515350832,11,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,102.47858803713824,12,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,112.41022016767617,1,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,113.431466273393,2,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,111.1704038218588,3,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,83.15811963904676,4,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,109.81128104448884,5,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,109.464327427673,6,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,115.73794986438979,7,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,121.60634156001115,8,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,116.78053965456202,9,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,85.66624096183165,10,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,118.37106403746613,11,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,106.47759084988533,12,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,112.03910879562916,1,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,114.14797775160626,2,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,116.23004622041492,3,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,108.75039592237822,4,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,80.7456412314305,5,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,110.45698844800732,6,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,118.3793048201946,7,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,125.67866687092489,8,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,120.19545429321197,9,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,118.45010885961689,10,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,86.37538030800307,11,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,108.5992742581119,12,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,120.36245646563786,1,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,116.5410887058095,2,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,115.05377555590883,3,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,87.33672256222594,4,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,106.91523304086239,5,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,107.1499552481189,6,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,117.36693000202204,7,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,116.37710531358623,8,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,124.54988803246864,9,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,89.85951768609291,10,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,116.09320004165161,11,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,105.0685925720339,12,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,118.520463335648,1,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,113.65022902612526,2,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,113.4364935493152,3,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,85.34634420160056,4,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,106.1061056875809,5,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,113.35961084417089,6,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,120.54809417696116,7,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,124.28813038793814,8,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,123.21080333451502,9,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,91.02687300299952,10,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,119.57567460045023,11,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,107.86824322669959,12,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,118.8792141452387,1,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,114.98904692955658,2,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,115.61032011494532,3,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,81.35285331551182,4,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,109.76046259016842,5,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,114.89283633812865,6,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,121.28644451637179,7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,125.6161199694586,8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,129.16674263579392,9,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,94.40822155144237,10,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,125.77680380847838,11,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,115.43116602653062,12,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,124.37509512523303,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,125.92866900430144,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,120.82640507493973,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,118.3453718752593,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,82.52080178547303,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,111.53426676148382,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,116.73491167064267,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,118.96079764969635,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,121.33261414859066,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,124.03593950512119,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,90.08438341662492,11,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,109.71920165331537,12,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,116.88188458456992,1,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,117.41854071319158,2,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,116.17193878316333,3,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,83.88132904943012,4,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,111.1671968418159,5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,116.3891076853458,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,124.08262504244267,7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,118.70204147789146,8,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,116.21462352092193,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,91.91029325486038,10,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,120.53918929151146,11,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,110.52541511760359,12,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,123.27828658430909,1,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,122.88646621286416,2,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,118.20137580193753,3,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,87.06587164640437,4,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,113.36675130046962,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,115.46470708439698,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,119.27713680921417,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,122.0106753736088,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,125.22482585514253,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,93.5125539460613,10,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,119.32131211033344,11,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,115.0266299343345,12,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,121.4312424900673,1,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,121.95293386610805,2,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,118.4972843165891,3,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,87.69705568045121,4,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,113.51101990060879,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,114.82268557851822,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,116.51091338875361,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,118.82859737219827,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,117.30741978442641,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,90.63060720596691,10,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,119.09378648526962,11,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,105.75369912169946,12,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,125.61368303452592,1,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,126.44011867670666,2,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,118.68382483974219,3,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,113.24085499669818,4,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,83.37754665483399,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,110.3662658374322,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,117.7727888339794,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,123.3547380406532,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,115.32524531136164,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,120.16207310619623,10,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,86.6808131141219,11,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,106.98023987830258,12,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,119.02202416727822,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,117.04893682644719,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,115.4967293973159,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,84.02071935201938,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,113.43892268286093,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,105.42479790535862,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,115.05402169585885,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,114.49836192156036,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,122.68665146524073,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,89.8579628223575,10,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,116.97983680160355,11,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
