type,start_date,end_date,duration_blocks,accumulated,basin
Wet,2002-01-01,2002-04-01,2,18.899816528209683,Amazon Basin
Dry,2002-07-01,2002-10-01,2,-11.595879502339017,Amazon Basin
Wet,2003-01-01,2012-10-01,40,7.601725247576127,Amazon Basin
Dry,2013-01-01,2018-07-01,23,-0.8474819929495965,Amazon Basin
Wet,2018-10-01,2020-07-01,8,6.698147198898056,Amazon Basin
Dry,2020-10-01,2024-10-01,17,-20.75632747939592,Amazon Basin
Dry,2002-01-01,2003-10-01,8,-2.091008391830984,California
Wet,2004-01-01,2004-01-01,1,3.4382598410245464,California
Dry,2004-04-01,2004-04-01,1,-3.8881621276258826,California
Wet,2004-07-01,2022-01-01,71,3.9785165193502188,California
Dry,2022-04-01,2023-04-01,5,-5.800250203995027,California
Wet,2023-07-01,2024-10-01,6,4.3626443630772975,California
Dry,2002-01-01,2023-10-01,88,-6.9097664872955775,Colorado
Wet,2024-01-01,2024-10-01,4,6.9097664872957285,Colorado
Dry,2002-01-01,2023-10-01,88,-3.9148406925519623,Congo
Wet,2024-01-01,2024-04-01,2,8.47987552618818,Congo
Dry,2024-07-01,2024-10-01,2,-4.56503483363683,Congo
Dry,2002-01-01,2018-04-01,66,-6.911556112546737,Danube
Wet,2018-07-01,2024-10-01,26,6.911556112547421,Danube
Dry,2002-01-01,2024-10-01,92,-1.7763568394002505e-13,Ganges / Brahmaputra Basin
Dry,2002-01-01,2003-01-01,5,-2.8065230832833024,Mekong Basin
Wet,2003-04-01,2003-10-01,3,3.362471755288773,Mekong Basin
Dry,2004-01-01,2022-01-01,73,-5.882656814191606,Mekong Basin
Wet,2022-04-01,2024-10-01,11,5.326708142186433,Mekong Basin
Wet,2002-01-01,2002-01-01,1,0.27192359821378176,Mississippi / Missouri
Dry,2002-04-01,2024-10-01,91,-0.2719235982134407,Mississippi / Missouri
Dry,2002-01-01,2024-07-01,91,-15.933100059367945,Murray Darling
Wet,2024-10-01,2024-10-01,1,15.93310005936803,Murray Darling
Dry,2002-01-01,2024-10-01,92,-7.815970093361102e-14,Nile
Dry,2002-01-01,2024-10-01,92,-6.465938895416912e-13,Yangtze Basin
