,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
6/1/2003,-1.177508442,1.705042196,-0.016827742,-0.045773922,0.881688367,1.51529903,-0.311441948,11.19042965,-0.412904251,-0.536478146,-0.782353581
7/1/2003,-0.423566301,0.288100331,-0.102433411,-0.00509003,-4.557928002,-0.327388349,0.831339183,5.600792512,-0.23946193,-0.226447105,-0.061295512
8/1/2003,-0.899404544,-0.290667552,-0.032416992,0.009801552,-1.739250598,-3.417682565,0.215014447,-2.349683679,-1.161955823,-0.256462926,0.126747349
9/1/2003,-0.533585616,1.6196783,0.082434436,-0.035734646,-0.501877173,-4.001742943,0.587767186,9.286437822,-2.028059566,0.257486649,-0.830625058
10/1/2003,0.798464357,-1.332836599,-0.176746644,-0.472708232,-2.167259393,-4.381352228,-1.005216687,1.616364956,-4.359850759,-0.997820543,0.218285377
11/1/2003,-0.271705022,2.491547477,0.029659156,0.441464678,-1.442375476,-3.136935379,-0.077518532,-0.273914017,-4.137962248,-3.080359874,-0.88209266
12/1/2003,-0.68990986,-0.859749,-0.168003049,0.193069912,-0.635249633,-0.998792894,-0.139908057,-0.060085991,-2.039736764,-5.747854558,-0.334072073
1/1/2004,-0.205141184,-0.39050082,-0.243198149,-1.318432525,-0.849843209,-0.328181599,0.036867739,0.150290993,-0.165339299,-0.537956652,0.888931095
2/1/2004,1.971316825,1.624065606,-0.073794912,5.48344656,-0.866927989,-0.148449872,-0.162883863,-0.256310037,-1.285839977,1.181127175,-0.979215324
3/1/2004,1.020509298,0.014244586,-0.253540037,-2.824669195,-2.309585392,-0.39628327,-0.343189411,-0.068637607,-2.994931161,-0.21887207,-0.693590624
4/1/2004,0.211446861,-2.627330728,-0.328058324,-1.300982629,-2.575421375,-0.353093681,0.093198172,2.560639879,-1.109885143,-7.365457659,-0.123588195
5/1/2004,-0.362654277,-0.104727372,-0.144924241,-0.227487226,2.433874607,0.92080392,-1.422889316,3.768551101,-2.078783735,-1.612909317,-0.668162811
6/1/2004,0.376205893,0.531706406,-0.028005949,-0.044286338,-6.717473735,5.816061206,0.058125089,0.865673024,-0.185897458,-2.830452546,-0.764352949
