basin,year,month,ET_mm
Amazon Basin,2014,9,123.21080333451502
Amazon Basin,2014,10,91.02687300299952
Amazon Basin,2014,11,119.57567460045024
Amazon Basin,2014,12,107.8682432266996
Amazon Basin,2015,1,118.8792141452387
Amazon Basin,2015,2,114.98904692955658
Amazon Basin,2015,3,115.61032011494532
Amazon Basin,2015,4,81.35285331551182
Amazon Basin,2015,5,109.76046259016842
Amazon Basin,2015,6,114.89283633812865
Amazon Basin,2015,7,121.2864445163718
Amazon Basin,2015,8,125.6161199694586
Amazon Basin,2015,9,129.16674263579392
Amazon Basin,2015,10,94.40822155144237
Amazon Basin,2015,11,125.77680380847838
Amazon Basin,2015,12,115.43116602653062
Amazon Basin,2016,1,124.37509512523305
Amazon Basin,2016,2,125.92866900430144
Amazon Basin,2016,3,120.82640507493971
Amazon Basin,2016,4,118.3453718752593
Amazon Basin,2016,5,82.52080178547303
Amazon Basin,2016,6,111.53426676148382
Amazon Basin,2016,7,116.73491167064267
Amazon Basin,2016,8,118.96079764969636
Amazon Basin,2016,9,121.33261414859066
Amazon Basin,2016,10,124.0359395051212
Amazon Basin,2016,11,90.08438341662492
Amazon Basin,2016,12,109.71920165331537
Amazon Basin,2017,1,116.88188458456992
Amazon Basin,2017,2,117.41854071319158
Amazon Basin,2017,3,116.17193878316333
Amazon Basin,2017,4,83.88132904943012
Amazon Basin,2017,5,111.1671968418159
Amazon Basin,2017,6,116.3891076853458
Amazon Basin,2017,7,124.08262504244269
Amazon Basin,2017,8,118.70204147789146
Amazon Basin,2017,9,116.21462352092192
Amazon Basin,2017,10,91.91029325486038
Amazon Basin,2017,11,120.53918929151146
Amazon Basin,2017,12,110.5254151176036
Amazon Basin,2018,1,123.27828658430909
Amazon Basin,2018,2,122.88646621286416
Amazon Basin,2018,3,118.20137580193752
Amazon Basin,2018,4,87.06587164640437
Amazon Basin,2018,5,113.36675130046962
Amazon Basin,2018,6,115.46470708439698
Amazon Basin,2018,7,119.27713680921416
Amazon Basin,2018,8,122.0106753736088
Amazon Basin,2018,9,125.22482585514253
Amazon Basin,2018,10,93.5125539460613
Amazon Basin,2018,11,119.32131211033344
Amazon Basin,2018,12,115.0266299343345
Amazon Basin,2019,1,121.4312424900673
Amazon Basin,2019,2,121.95293386610804
Amazon Basin,2019,3,118.4972843165891
Amazon Basin,2019,4,87.69705568045121
Amazon Basin,2019,5,113.5110199006088
Amazon Basin,2019,6,114.82268557851822
Amazon Basin,2019,7,116.5109133887536
Amazon Basin,2019,8,118.82859737219827
Amazon Basin,2019,9,117.3074197844264
Amazon Basin,2019,10,90.63060720596692
Amazon Basin,2019,11,119.09378648526962
Amazon Basin,2019,12,105.75369912169946
Amazon Basin,2020,1,125.61368303452592
Amazon Basin,2020,2,126.44011867670666
Amazon Basin,2020,3,118.6838248397422
Amazon Basin,2020,4,113.24085499669818
Amazon Basin,2020,5,83.37754665483399
Amazon Basin,2020,6,110.3662658374322
Amazon Basin,2020,7,117.7727888339794
Amazon Basin,2020,8,123.3547380406532
Amazon Basin,2020,9,115.32524531136164
Amazon Basin,2020,10,120.16207310619625
Amazon Basin,2020,11,86.6808131141219
Amazon Basin,2020,12,106.98023987830258
Amazon Basin,2021,1,119.02202416727822
Amazon Basin,2021,2,117.0489368264472
Amazon Basin,2021,3,115.4967293973159
Amazon Basin,2021,4,84.02071935201938
Amazon Basin,2021,5,113.43892268286092
Amazon Basin,2021,6,105.42479790535862
Amazon Basin,2021,7,115.05402169585884
Amazon Basin,2021,8,114.49836192156036
Amazon Basin,2021,9,122.68665146524071
Amazon Basin,2021,10,89.8579628223575
Amazon Basin,2021,11,116.97983680160355
Amazon Basin,2021,12,106.1354362882638
Amazon Basin,2022,1,121.98480021978288
Amazon Basin,2022,2,118.95711158505004
Amazon Basin,2022,3,119.15866456336168
Amazon Basin,2022,4,87.69227562813423
Amazon Basin,2022,5,112.14484547909372
Amazon Basin,2022,6,109.21461533877098
Amazon Basin,2022,7,114.86839652647276
Amazon Basin,2022,8,115.47712866049892
Amazon Basin,2022,9,118.12216638511023
Amazon Basin,2022,10,88.61011503121394
Amazon Basin,2022,11,123.06616094655344
Amazon Basin,2022,12,108.99148165646235
Amazon Basin,2023,1,120.14690265892084
Amazon Basin,2023,2,123.4423344056488
Amazon Basin,2023,3,118.6274470679935
Amazon Basin,2023,4,88.22873709908986
Amazon Basin,2023,5,114.2748364033198
Amazon Basin,2023,6,114.67144833948672
Amazon Basin,2023,7,120.53084071028192
Amazon Basin,2023,8,124.43090053217075
Amazon Basin,2023,9,125.41249247218131
Amazon Basin,2023,10,89.1028348968578
Amazon Basin,2023,11,123.59643533518548
Amazon Basin,2023,12,109.70758921000478
Amazon Basin,2024,1,127.54598331281468
Amazon Basin,2024,2,125.37775414044584
Amazon Basin,2024,3,120.33219656351976
Amazon Basin,2024,4,120.55878433572646
Amazon Basin,2024,5,87.13802584165907
Amazon Basin,2024,6,115.49180858911492
Amazon Basin,2024,7,118.51760313089068
Amazon Basin,2024,8,115.13932384076875
Amazon Basin,2024,9,103.9172773292856
Amazon Basin,2024,10,118.61495273890684
Amazon Basin,2024,11,92.36361755848804
Amazon Basin,2024,12,114.4835733678836
California,2002,1,19.71930958240763
California,2002,2,24.847199287999597
California,2002,3,33.58270429450415
California,2002,4,30.349584431609657
California,2002,5,40.01734253873813
California,2002,6,40.09470722165427
California,2002,7,30.60827053560868
California,2002,8,22.903146941849727
California,2002,9,21.08049159697019
California,2002,10,14.525046732404135
California,2002,11,17.114312482837676
California,2002,12,17.682787730273464
California,2003,1,22.01514663056851
California,2003,2,27.50797805914127
California,2003,3,36.65043928745244
California,2003,4,32.42348606628081
California,2003,5,46.621933477212714
California,2003,6,44.096922651764
California,2003,7,30.491128708971733
California,2003,8,30.506413240955418
California,2003,9,23.053505621444852
California,2003,10,13.069498028567788
California,2003,11,19.642459007167776
California,2003,12,17.496277150335455
California,2004,1,21.404876776614177
California,2004,2,28.316566625086363
California,2004,3,36.53314229583791
California,2004,4,37.952125266653674
California,2004,5,31.467702185535934
California,2004,6,42.3300952056332
California,2004,7,34.361650862570244
California,2004,8,26.92655388448234
California,2004,9,23.46007024885777
California,2004,10,24.03856032238596
California,2004,11,16.84937966726825
California,2004,12,19.197988292882098
California,2005,1,24.74043036435227
California,2005,2,35.59253405528439
California,2005,3,41.20369336124555
California,2005,4,35.23929500326205
California,2005,5,52.97919478346398
California,2005,6,48.36405469485832
California,2005,7,34.66303755303742
