type,start_date,end_date,duration_blocks,accumulated,basin
Wet,2002-01-01,2012-01-01,11,14.90566227344678,Amazon Basin
Dry,2013-01-01,2017-01-01,5,-18.372244945575673,Amazon Basin
Wet,2018-01-01,2020-01-01,3,16.610039861655252,Amazon Basin
Dry,2021-01-01,2024-01-01,4,-13.143457189527041,Amazon Basin
Dry,2002-01-01,2003-01-01,2,-2.091008391830984,California
Wet,2004-01-01,2021-01-01,18,9.386090330480435,California
Dry,2022-01-01,2024-01-01,3,-7.29508193864924,California
Dry,2002-01-01,2023-01-01,22,-6.909766487295549,Colorado
Wet,2024-01-01,2024-01-01,1,6.90976648729573,Colorado
Dry,2002-01-01,2024-01-01,23,-7.247535904753022e-13,Congo
Dry,2002-01-01,2017-01-01,16,-28.89178873080555,Danube
Wet,2018-01-01,2024-01-01,7,28.891788730806233,Danube
Dry,2002-01-01,2024-01-01,23,-2.2026824808563106e-13,Ganges / Brahmaputra Basin
Dry,2002-01-01,2002-01-01,1,-16.778926744352667,Mekong Basin
Wet,2003-01-01,2003-01-01,1,17.334875416358138,Mekong Basin
Dry,2004-01-01,2021-01-01,18,-34.36606280064089,Mekong Basin
Wet,2022-01-01,2024-01-01,3,33.810114128635746,Mekong Basin
Dry,2002-01-01,2023-01-01,22,-11.264821044436953,Mississippi / Missouri
Wet,2024-01-01,2024-01-01,1,11.26482104443723,Mississippi / Missouri
Dry,2002-01-01,2023-01-01,22,-73.84527409092631,Murray Darling
Wet,2024-01-01,2024-01-01,1,73.8452740909265,Murray Darling
Dry,2002-01-01,2024-01-01,23,-2.2737367544323206e-13,Nile
Dry,2002-01-01,2024-01-01,23,-5.826450433232822e-13,Yangtze Basin
