Month,mean_runoff
1,2.296809948008993
2,3.302402289017387
3,5.85266301035881
4,4.669822641040968
5,4.209140881248143
6,2.6813165415888247
7,1.7457179142081218
8,1.7691182079522505
9,1.847010094186534
10,2.0588650418364485
11,1.585981953403224
12,2.266695921835692
