type,start_date,end_date,duration_blocks,accumulated,basin
Wet,1998-01-01,1998-01-01,1,45.54898228096033,Danube
Dry,1998-07-01,2025-01-01,54,-45.548982280960885,Danube
Wet,1998-01-01,1998-01-01,1,141.09222430999284,Mississippi / Missouri
Dry,1998-07-01,2002-01-01,8,-30.94294160534386,Mississippi / Missouri
Wet,2002-07-01,2021-07-01,39,87.35966363935128,Mississippi / Missouri
Dry,2022-01-01,2025-01-01,7,-197.50894634400078,Mississippi / Missouri
Dry,1998-01-01,2000-01-01,5,-127.3391457376378,Colorado
Wet,2000-07-01,2023-01-01,46,129.45880082484908,Colorado
Dry,2023-07-01,2025-01-01,4,-2.11965508721039,Colorado
Wet,1998-01-01,2025-01-01,55,9.379164112033322e-13,California
Wet,1998-01-01,2025-01-01,55,1.723066134218243e-13,Yangtze Basin
Wet,1998-01-01,2003-07-01,12,35.223192982264166,Mekong Basin
Dry,2004-01-01,2016-01-01,25,-241.04155014653122,Mekong Basin
Wet,2016-07-01,2018-07-01,5,74.8932090838838,Mekong Basin
Dry,2019-01-01,2021-01-01,5,-130.24667359473287,Mekong Basin
Wet,2021-07-01,2025-01-01,8,261.1718216751151,Mekong Basin
Wet,1998-01-01,1998-01-01,1,31.33691583505143,Nile
Dry,1998-07-01,1998-07-01,1,-39.461147034206945,Nile
Wet,1999-01-01,2024-01-01,51,80.29571304929331,Nile
Dry,2024-07-01,2025-01-01,2,-72.17148185013818,Nile
Wet,1998-01-01,1998-07-01,2,100.30128787302914,Ganges / Bhramaputra Basin
Dry,1999-01-01,2025-01-01,53,-100.30128787302888,Ganges / Bhramaputra Basin
Dry,1998-01-01,1999-01-01,3,-37.307189406178914,Congo
Wet,1999-07-01,2005-01-01,12,47.28154424103971,Congo
Dry,2005-07-01,2007-01-01,4,-27.70490031709825,Congo
Wet,2007-07-01,2011-07-01,9,8.504956346963816,Congo
Dry,2012-01-01,2012-01-01,1,-31.73026882229918,Congo
Wet,2012-07-01,2014-01-01,4,45.06001563970125,Congo
Dry,2014-07-01,2017-01-01,6,-13.242299499993358,Congo
Wet,2017-07-01,2025-01-01,16,9.13814181786448,Congo
Dry,1998-01-01,1998-01-01,1,-14.363494428606511,Amazon Basin
Wet,1998-07-01,2019-07-01,43,73.44325443026813,Amazon Basin
Dry,2020-01-01,2021-07-01,4,-3.67199752777141,Amazon Basin
Wet,2022-01-01,2024-01-01,5,11.446475457579382,Amazon Basin
Dry,2024-07-01,2025-01-01,2,-66.85423793146994,Amazon Basin
Wet,1998-01-01,2004-01-01,13,35.852160569426474,Murray
Dry,2004-07-01,2006-01-01,4,-362.47805134976875,Murray
Wet,2006-07-01,2025-01-01,38,326.62589078034216,Murray
