type,start_date,end_date,duration_blocks,accumulated,basin
Dry,1998-01-01,1998-01-01,1,-66.42123676190472,Amazon Basin
Wet,1999-01-01,2025-01-01,27,66.42123676190519,Amazon Basin
Wet,1998-01-01,2014-01-01,17,118.01036133994707,California
Dry,2015-01-01,2016-01-01,2,-26.151397789418027,California
Wet,2017-01-01,2020-01-01,4,1.0501989211639966,California
Dry,2021-01-01,2025-01-01,5,-92.90916247169312,California
Wet,1998-01-01,2001-01-01,4,25.173235920105817,Colorado
Dry,2002-01-01,2004-01-01,3,-66.13676825992063,Colorado
Wet,2005-01-01,2011-01-01,7,68.97242306018519,Colorado
Dry,2012-01-01,2014-01-01,3,-56.75603925992065,Colorado
Wet,2015-01-01,2025-01-01,11,28.747148539550242,Colorado
Dry,1998-01-01,1998-01-01,1,-37.780780951058176,Congo
Wet,1999-01-01,2025-01-01,27,37.780780951058915,Congo
Wet,1998-01-01,1999-01-01,2,113.02233252116406,Danube
Dry,2000-01-01,2009-01-01,10,-92.17516639417983,Danube
Wet,2010-01-01,2011-01-01,2,2.585456521164076,Danube
Dry,2012-01-01,2013-01-01,2,-22.151612478835972,Danube
Wet,2014-01-01,2024-01-01,11,51.6863863664022,Danube
Dry,2025-01-01,2025-01-01,1,-52.967396535714286,Danube
Wet,1998-01-01,2017-01-01,20,129.2725377883599,Ganges / Bhramaputra Basin
Dry,2018-01-01,2025-01-01,8,-129.27253778835967,Ganges / Bhramaputra Basin
Dry,1998-01-01,1998-01-01,1,-178.54517417129637,Mekong Basin
Wet,1999-01-01,2025-01-01,27,178.54517417129563,Mekong Basin
Wet,1998-01-01,1999-01-01,2,16.738652616402078,Mississippi / Missouri
Dry,2000-01-01,2008-01-01,9,-81.64115622619059,Mississippi / Missouri
Wet,2009-01-01,2011-01-01,3,100.17801492460313,Mississippi / Missouri
Dry,2012-01-01,2018-01-01,7,-38.61348584259265,Mississippi / Missouri
Wet,2019-01-01,2022-01-01,4,22.81894823280416,Mississippi / Missouri
Dry,2023-01-01,2025-01-01,3,-19.480973705026443,Mississippi / Missouri
Wet,1998-01-01,2002-01-01,5,3.36651457209004,Murray
Dry,2003-01-01,2010-01-01,8,-67.17856928465602,Murray
Wet,2011-01-01,2013-01-01,3,33.26222804325403,Murray
Dry,2014-01-01,2015-01-01,2,-115.023197571164,Murray
Wet,2016-01-01,2017-01-01,2,97.303104428836,Murray
Dry,2018-01-01,2021-01-01,4,-204.112788642328,Murray
Wet,2022-01-01,2025-01-01,4,252.38270845396826,Murray
Wet,1998-01-01,2003-01-01,6,17.16983077619055,Nile
Dry,2004-01-01,2019-01-01,16,-5.375636696825069,Nile
Wet,2020-01-01,2022-01-01,3,16.62514413809527,Nile
Dry,2023-01-01,2025-01-01,3,-28.419338217460272,Nile
Wet,1998-01-01,2000-01-01,3,94.06784329801583,Yangtze Basin
Dry,2001-01-01,2025-01-01,25,-94.06784329801582,Yangtze Basin
