time,Danube,Mississippi / Missouri,Colorado,California,Yangtze Basin,Mekong Basin,Nile,Ganges / Bhramaputra Basin,Congo,Amazon Basin,Murray
1998-01-01,5.641346657449418,-19.233495333972822,-34.12003285496172,14.583710019640392,-6.583023817220928,-52.7434402148981,62.217042266125816,-14.198795454439411,3.5329704857634425,-38.14533835077495,71.24254036008415
1998-02-01,25.51597957016628,26.532543322534664,62.99358302550124,144.06417318301658,-8.590581233571775,-34.79523275226069,-6.334750437902869,43.784529727521246,-13.979223143385177,-17.491766344008113,56.45713268000395
1998-03-01,15.800592301428225,31.514482095149944,15.981069158583523,-29.536332060288302,2.7008450426341604,43.6311651406086,-15.296056181821314,144.1870060654457,-11.902811546986669,-22.658477500404217,-1.5917331351804478
1998-04-01,6.118773175199678,88.58426725686138,4.188808926834298,-6.784757623156679,2.102677017695367,103.64790625827942,-5.126556934109914,33.88681237835843,-5.094627099402672,21.543906774175156,-48.34314305687418
1998-05-01,6.7414648216651045,43.45617177698011,3.609730506785155,-0.9542230641803258,62.722776806034666,60.898419671973,0.12703096985217854,-15.678132450079552,-12.454806307859954,13.140938631535164,-60.137370167606264
1998-06-01,-14.269174244948374,-29.761744807560447,-75.01043119576752,-39.12856084402658,45.524010582748865,20.613283288208294,-4.249793847092468,-25.866680982755707,-5.288930623840898,29.247242360870445,33.572589458498356
1998-07-01,-33.928965943744146,-51.90028424940333,-106.82339776410966,-63.57797860390532,1.252164191796112,69.78701571409125,1.063718818627315,-3.4822569156329237,12.045086435154047,2.7739499848415505,93.17837771459173
1998-08-01,-17.264355994053105,-59.402485688912606,-99.2078289915022,-38.66184221983414,10.197495207295773,1.0686624172668893,-1.9214883770961002,-12.260435037910161,17.77382079452562,9.390634294609299,48.051905709742755
1998-09-01,-3.4955027550473687,-11.638191652829548,1.7262808135391197,17.630109725548323,-7.732312360756765,-1.5886968449575587,-2.7487783393525547,-10.02229089909125,11.230429459790514,-5.330263727772717,-43.54258734566926
1998-10-01,-14.68944610470298,-31.966493042431708,-36.67997098724868,-35.471588167489315,-0.19611019137673935,28.55171210575011,-3.515495968350436,-10.958193510123088,-7.172603539962694,4.4793027157221275,-38.40211980336153
1998-11-01,-7.3050428370223415,-6.13518263881906,-26.969791974215276,35.78775606907912,-3.0836177280659687,3.334156763495063,-19.45434504879958,-13.790124707428014,-11.382264863385828,-3.566202148813659,85.54804150077433
1998-12-01,25.342547941001854,12.884322269280297,12.648979996058188,42.832247980981165,-2.1266545913742974,-4.97378403292209,-12.884758119235585,-15.30015034083613,-9.848611532679897,46.94708174234697,-7.584168440003197
1999-01-01,-9.790938139103233,-11.139293367303829,-2.3178329710551964,-14.902877508140335,-7.047534312627439,34.36870653232052,16.52318870157916,-23.77245780427956,6.58590779642752,50.52745699599198,-22.647302699435897
1999-02-01,-5.740955666902451,-14.534962236108242,-57.22960389568489,-21.858299100506343,-8.572905971181239,-34.877702764462015,4.149606787385437,-33.9496449957792,3.1739285141603375,50.01203108517282,-32.40638400956625
1999-03-01,9.094582162482396,-22.517633709753767,43.38048324469389,69.97824253775698,9.647807940814914,162.35290566209582,63.0774763859402,-22.56539116822033,-10.212054238378826,-3.243022608483514,41.123573776813544
1999-04-01,-46.738987465468504,7.5023557844162525,30.438258041205444,-12.91762524900679,-15.381042281036187,-51.06911090599214,5.114299588788413,-9.948178033027947,-11.280176342277073,31.63611580913357,122.08665658671154
1999-05-01,-48.624201194009345,19.193072351015985,-21.96280292586968,9.637141595667316,94.40173428717654,45.206178355126,-8.3901436132963,-11.38260850259735,3.8006926314800467,-40.39030831237909,22.4847257994752
1999-06-01,17.0550633320737,19.317841911688703,25.75519393896468,39.050443978722825,-12.41016981302488,-7.325860434176704,-4.243707283617242,-8.302597908005893,3.166083714679246,8.254159350546757,3.469789616370946
1999-07-01,37.21131562118242,13.639666268307721,2.134267350184615,-1.7083583179028778,16.404856567853855,-18.575709523379178,0.030658656572118304,-0.8053928192100024,-5.642654824872707,-6.3131727175302785,-7.192152383595925
1999-08-01,11.66332315374656,23.1212136212376,69.1501954028667,4.686361623779618,1.5306311055905581,-7.17262945018274,8.33838805589125,-9.516819943423304,34.91610318929628,16.317704625620564,-39.831985094613415
1999-09-01,1.797636416836653,-6.864089396894997,13.736411022594211,52.58794676011024,20.548911752562336,-4.139435025659431,0.21733508452928163,-10.039951263309952,1.6201812616542384,28.040812817347955,-44.489539400974564
