accuracy,precision,recall,f1,roc_auc,rmse,log_loss,model,basin,split
0.6706349206349206,0.21739130434782608,0.6451612903225806,0.3252032520325203,0.7584294263611152,0.4450315116390428,0.5751432361123577,Logistic Regression,Amazon Basin,train
0.484375,0.058823529411764705,0.6666666666666666,0.10810810810810811,0.48633879781420764,0.5453316339651986,0.826260716026062,Logistic Regression,Amazon Basin,test
0.9365079365079365,0.7586206896551724,0.7096774193548387,0.7333333333333333,0.9846737702525179,0.28191697998456455,0.3065719381874312,Random Forest,Amazon Basin,train
0.765625,0.0,0.0,0.0,0.3715846994535519,0.40302239108707655,0.5016980326081654,Random Forest,Amazon Basin,test
0.9880952380952381,0.9117647058823529,1.0,0.9538461538461539,1.0,0.1776364479779169,0.15651111543883317,Gradient Boosting,Amazon Basin,train
0.890625,0.0,0.0,0.0,0.6174863387978142,0.30436586624435935,0.32536794689283954,Gradient Boosting,Amazon Basin,test
0.7142857142857143,0.45,0.9,0.6,0.8080729166666666,0.42434694837276943,0.5205296132337299,Logistic Regression,California,train
0.625,0.3939393939393939,0.7647058823529411,0.52,0.7784730913642053,0.460231771048464,0.5989122334919272,Logistic Regression,California,test
0.8174603174603174,0.57,0.95,0.7125,0.9698784722222222,0.343218648184135,0.3729987810311768,Random Forest,California,train
0.703125,0.4642857142857143,0.7647058823529411,0.5777777777777777,0.7984981226533167,0.41840566690578784,0.512248579960029,Random Forest,California,test
0.9563492063492064,0.8450704225352113,1.0,0.916030534351145,0.9994791666666667,0.22288433690018414,0.20078478984534445,Gradient Boosting,California,train
0.734375,0.5,0.6470588235294118,0.5641025641025641,0.7772215269086358,0.42487287755777575,0.5317142487552053,Gradient Boosting,California,test
0.6349206349206349,0.30275229357798167,0.673469387755102,0.4177215189873418,0.6917663617171007,0.4748483336968985,0.6405136065626944,Logistic Regression,Colorado,train
0.65625,0.2,0.7142857142857143,0.3125,0.6691729323308271,0.48237240793591024,0.6574459938243308,Logistic Regression,Colorado,test
0.9523809523809523,0.8245614035087719,0.9591836734693877,0.8867924528301887,0.9898461847793304,0.3443982021916084,0.40886722792719943,Random Forest,Colorado,train
0.796875,0.2,0.2857142857142857,0.23529411764705882,0.6766917293233083,0.39923935983601705,0.4939555706584271,Random Forest,Colorado,test
0.9603174603174603,0.8305084745762712,1.0,0.9074074074074074,0.9991957374082638,0.22020874904922577,0.20379604388939412,Gradient Boosting,Colorado,train
0.71875,0.17647058823529413,0.42857142857142855,0.25,0.6691729323308271,0.43078157896403285,0.5267642680914675,Gradient Boosting,Colorado,test
0.6428571428571429,0.21212121212121213,0.6363636363636364,0.3181818181818182,0.6785664867856649,0.4751344497588097,0.6409903632819853,Logistic Regression,Congo,train
0.4375,0.15625,0.35714285714285715,0.21739130434782608,0.3628571428571429,0.5611477353378476,0.8579187262423275,Logistic Regression,Congo,test
0.9603174603174603,0.8709677419354839,0.8181818181818182,0.84375,0.9886536598865366,0.3055935542709783,0.34713450376700944,Random Forest,Congo,train
0.671875,0.0,0.0,0.0,0.5,0.4461242616507052,0.5788738010524537,Random Forest,Congo,test
0.9761904761904762,0.8461538461538461,1.0,0.9166666666666666,1.0,0.20287365182642575,0.19092130918532702,Gradient Boosting,Congo,train
0.6875,0.0,0.0,0.0,0.5171428571428571,0.48320461331775305,0.7042553304913559,Gradient Boosting,Congo,test
0.6349206349206349,0.3148148148148148,0.6538461538461539,0.425,0.6764423076923077,0.47885198296297493,0.6513396873239392,Logistic Regression,Danube,train
0.546875,0.20689655172413793,0.5,0.2926829268292683,0.578525641025641,0.5062572982858979,0.7082693843301304,Logistic Regression,Danube,test
0.9365079365079365,0.8,0.9230769230769231,0.8571428571428571,0.9912500000000001,0.35203356593029655,0.42273184905164146,Random Forest,Danube,train
0.8125,0.5,0.4166666666666667,0.45454545454545453,0.8012820512820513,0.40918153307802296,0.5165722450676887,Random Forest,Danube,test
0.9682539682539683,0.8666666666666667,1.0,0.9285714285714286,0.9938461538461538,0.2557311730485413,0.2599838252919838,Gradient Boosting,Danube,train
0.75,0.4,0.6666666666666666,0.5,0.7772435897435896,0.41108614601004184,0.5037164655521437,Gradient Boosting,Danube,test
0.7222222222222222,0.46534653465346537,0.746031746031746,0.573170731707317,0.7881918199378516,0.43682312999169703,0.5630776069845572,Logistic Regression,Ganges / Bhramaputra Basin,train
0.6875,0.4,0.5,0.4444444444444444,0.671875,0.46177547174280814,0.6145367849606478,Logistic Regression,Ganges / Bhramaputra Basin,test
0.8373015873015873,0.627906976744186,0.8571428571428571,0.7248322147651006,0.9407071470563534,0.3492111431805575,0.3924598741934908,Random Forest,Ganges / Bhramaputra Basin,train
0.765625,0.5333333333333333,0.5,0.5161290322580645,0.7330729166666666,0.4239234159130386,0.5209009706866707,Random Forest,Ganges / Bhramaputra Basin,test
0.9444444444444444,0.8181818181818182,1.0,0.9,0.9894179894179894,0.24718435697517507,0.2333298252015449,Gradient Boosting,Ganges / Bhramaputra Basin,train
0.671875,0.3076923076923077,0.25,0.27586206896551724,0.7265625,0.4636177764157829,0.5911385831756859,Gradient Boosting,Ganges / Bhramaputra Basin,test
0.6746031746031746,0.3925233644859813,0.711864406779661,0.5060240963855421,0.7311846842891017,0.4599673020970332,0.610359515264358,Logistic Regression,Mekong Basin,train
0.609375,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6870748299319728,0.47745300812710717,0.6496843636665937,Logistic Regression,Mekong Basin,test
0.876984126984127,0.7,0.8305084745762712,0.7596899224806202,0.9537191534205672,0.35756974794736746,0.4217738628427339,Random Forest,Mekong Basin,train
0.734375,0.45,0.6,0.5142857142857142,0.7918367346938776,0.40832442412029685,0.5044381374147215,Random Forest,Mekong Basin,test
0.9365079365079365,0.7866666666666666,1.0,0.8805970149253731,0.993150083428471,0.26445745451006836,0.26630842147921563,Gradient Boosting,Mekong Basin,train
0.75,0.47368421052631576,0.6,0.5294117647058824,0.7673469387755103,0.42052141375864127,0.5126351500302666,Gradient Boosting,Mekong Basin,test
0.6547619047619048,0.3333333333333333,0.6415094339622641,0.43870967741935485,0.6748838532284062,0.47673637083277914,0.6469919882084182,Logistic Regression,Mississippi / Missouri,train
0.609375,0.23076923076923078,0.5454545454545454,0.32432432432432434,0.5883361921097771,0.49596175009302185,0.6929932811210823,Logistic Regression,Mississippi / Missouri,test
0.9087301587301587,0.7027027027027027,0.9811320754716981,0.8188976377952756,0.9789513605764673,0.3573503489857637,0.42520003163262543,Random Forest,Mississippi / Missouri,train
0.75,0.3076923076923077,0.36363636363636365,0.3333333333333333,0.7684391080617496,0.3960656085673837,0.48556303921881416,Random Forest,Mississippi / Missouri,test
0.9603174603174603,0.8412698412698413,1.0,0.9137931034482759,0.9947852469896653,0.24811772636098392,0.24571655602412898,Gradient Boosting,Mississippi / Missouri,train
