type,start_date,end_date,duration_blocks,accumulated,basin
Dry,1998-01-01,1999-01-01,5,-20.005706404761852,Amazon Basin
Wet,1999-04-01,2025-04-01,105,20.005706404762236,Amazon Basin
Wet,1998-01-01,2015-01-01,69,4.423693589947177,California
Dry,2015-04-01,2015-10-01,3,-15.350027394708995,California
Wet,2016-01-01,2021-01-01,21,37.33018452645497,California
Dry,2021-04-01,2021-07-01,2,-42.59847705767196,California
Wet,2021-10-01,2021-10-01,1,43.48091546296296,California
Dry,2022-01-01,2024-07-01,11,-14.533768197089932,California
Wet,2024-10-01,2025-01-01,2,3.0554857129629553,California
Dry,2025-04-01,2025-04-01,1,-15.80800664285714,California
Wet,1998-01-01,2001-10-01,16,25.17323592010581,Colorado
Dry,2002-01-01,2004-10-01,12,-66.13676825992066,Colorado
Wet,2005-01-01,2012-07-01,31,6.428567406878262,Colorado
Dry,2012-10-01,2013-04-01,3,-52.01688812738095,Colorado
Wet,2013-07-01,2025-04-01,48,86.55185306031743,Colorado
Dry,1998-01-01,1998-04-01,2,-17.58155565476187,Congo
Wet,1998-07-01,1998-07-01,1,32.06533692592592,Congo
Dry,1998-10-01,1999-07-01,4,-14.2419959510582,Congo
Wet,1999-10-01,1999-10-01,1,20.47059777777781,Congo
Dry,2000-01-01,2000-10-01,4,-10.309559951058205,Congo
Wet,2001-01-01,2024-07-01,95,34.66109139682592,Congo
Dry,2024-10-01,2025-04-01,3,-45.06391454365075,Congo
Dry,1998-01-01,1998-07-01,3,-2.780100128306856,Danube
Wet,1998-10-01,2000-04-01,7,22.829247521164035,Danube
Dry,2000-07-01,2001-04-01,4,-28.77135123941798,Danube
Wet,2001-07-01,2001-07-01,1,45.519296000000004,Danube
Dry,2001-10-01,2005-04-01,15,-132.49634695767196,Danube
Wet,2005-07-01,2025-04-01,80,95.69925480423301,Danube
Wet,1998-01-01,2018-07-01,83,39.69645598611145,Ganges / Bhramaputra Basin
Dry,2018-10-01,2020-01-01,6,-31.310649436772458,Ganges / Bhramaputra Basin
Wet,2020-04-01,2023-04-01,13,59.96869768849211,Ganges / Bhramaputra Basin
Dry,2023-07-01,2025-04-01,8,-68.35450423783061,Ganges / Bhramaputra Basin
Dry,1998-01-01,1999-07-01,7,-71.89823629814828,Mekong Basin
Wet,1999-10-01,2015-10-01,65,13.224647914814259,Mekong Basin
Dry,2016-01-01,2016-07-01,3,-52.39162712685186,Mekong Basin
Wet,2016-10-01,2020-01-01,14,27.900910238095122,Mekong Basin
Dry,2020-04-01,2021-10-01,7,-8.80371043902121,Mekong Basin
Wet,2022-01-01,2025-04-01,14,91.96801571111095,Mekong Basin
Wet,1998-01-01,2000-01-01,9,4.577124402116375,Mississippi / Missouri
Dry,2000-04-01,2009-07-01,38,-48.57999370370386,Mississippi / Missouri
Wet,2009-10-01,2012-01-01,10,72.4018984021164,Mississippi / Missouri
Dry,2012-04-01,2019-01-01,28,-3.616563842592676,Mississippi / Missouri
Wet,2019-04-01,2022-07-01,14,12.506007447089871,Mississippi / Missouri
Dry,2022-10-01,2022-10-01,1,-17.807499000000007,Mississippi / Missouri
Wet,2023-01-01,2023-01-01,1,30.711389785714296,Mississippi / Missouri
Dry,2023-04-01,2025-04-01,9,-50.19236349074073,Mississippi / Missouri
Dry,1998-01-01,1998-04-01,2,-1.6237482226190423,Murray
Wet,1998-07-01,2002-10-01,18,4.990262794709068,Murray
Dry,2003-01-01,2010-10-01,32,-67.17856928465594,Murray
Wet,2011-01-01,2014-07-01,15,11.752733424338675,Murray
Dry,2014-10-01,2016-04-01,7,-49.676281674867724,Murray
Wet,2016-07-01,2017-10-01,6,53.465683151455046,Murray
Dry,2018-01-01,2022-07-01,19,-35.95022426124328,Murray
Wet,2022-10-01,2025-04-01,11,84.22014407288364,Murray
Wet,1998-01-01,2004-01-01,25,10.757047854761991,Nile
Dry,2004-04-01,2007-04-01,13,-47.098283224073974,Nile
Wet,2007-07-01,2009-01-01,7,22.176784987566172,Nile
Dry,2009-04-01,2019-07-01,42,-29.1852870314813,Nile
Wet,2019-10-01,2025-04-01,23,43.349737413227594,Nile
Wet,1998-01-01,2001-04-01,14,29.850072908465563,Yangtze Basin
Dry,2001-07-01,2021-04-01,80,-81.33384937989472,Yangtze Basin
Wet,2021-07-01,2025-04-01,16,51.48377647142851,Yangtze Basin
